Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,14.477333,14.522667,14.280000,14.285334,11.859404,857200
2010-01-04,14.285334,14.461333,14.277333,14.346666,11.910321,1169200
2010-01-05,14.304000,14.365334,14.032000,14.197333,11.786346,1507700
2010-01-06,14.221334,14.421333,14.197333,14.394667,11.950172,1498000
2010-01-07,14.421333,14.421333,14.186666,14.253333,11.832839,802700
2010-01-08,14.258667,14.261333,14.093333,14.250667,11.830624,811500
2010-01-11,14.322667,14.365334,14.189333,14.304000,11.874903,838700
2010-01-12,14.266666,14.408000,14.234667,14.405334,11.959023,971500
2010-01-13,14.392000,14.816000,14.357333,14.704000,12.206975,1054000
2010-01-14,14.664000,14.714666,14.522667,14.584000,12.107351,655000
2010-01-15,14.602667,14.658667,14.304000,14.357333,11.919175,1192700
2010-01-19,14.349334,14.384000,14.205334,14.365334,11.925817,913700
2010-01-20,14.258667,14.258667,14.016000,14.248000,11.828409,831000
2010-01-21,14.349334,14.362667,13.960000,14.042666,11.657947,965500
2010-01-22,13.970667,14.026667,13.757334,13.789333,11.447635,878200
2010-01-25,13.912000,13.912000,13.693334,13.802667,11.458708,682500
2010-01-26,13.778666,13.805333,13.584000,13.754666,11.418854,614500
2010-01-27,13.754666,13.754666,13.560000,13.712000,11.383434,867200
2010-01-28,13.762667,13.869333,13.624000,13.658667,11.339154,711000
2010-01-29,13.770667,13.770667,13.546667,13.685333,11.361295,1156500
2010-02-01,13.781333,13.802667,13.685333,13.784000,11.443206,655000
2010-02-02,13.821333,13.885333,13.602667,13.874666,11.518476,791500
2010-02-03,13.810667,13.917334,13.669333,13.701333,11.374577,636200
2010-02-04,13.661333,13.728000,13.186666,13.197333,10.956168,858200
2010-02-05,13.176000,13.269333,13.048000,13.200000,10.958383,924200
2010-02-08,13.298667,13.400000,13.200000,13.216000,10.971663,1293200
2010-02-09,13.386666,13.717334,13.362667,13.546667,11.246179,1102000
2010-02-10,13.522667,13.674666,13.424000,13.533334,11.235108,629500
2010-02-11,13.541333,13.565333,13.301333,13.533334,11.235108,1110200
2010-02-12,13.477333,13.586667,13.349334,13.506667,11.212974,1297700
2010-02-16,13.504000,13.642667,13.482667,13.640000,11.323661,1045700
2010-02-17,13.653334,13.893333,13.597333,13.866667,11.511832,743200
2010-02-18,13.888000,14.098666,13.888000,14.072000,11.682301,565000
2010-02-19,14.061334,14.200000,13.938666,14.117333,11.719934,740500
2010-02-22,14.162666,14.194667,14.050667,14.088000,11.695582,462000
2010-02-23,14.090667,14.093333,13.856000,13.970667,11.598175,631000
2010-02-24,14.069333,14.256000,13.973333,14.192000,11.781919,1014000
2010-02-25,14.053333,14.186666,13.850667,14.152000,11.748711,1205200
2010-02-26,14.205334,14.205334,13.922667,13.962667,11.591533,1582500
2010-03-01,14.029333,14.562667,14.029333,14.248000,11.828409,1292500
2010-03-02,14.280000,14.413333,14.224000,14.384000,11.941312,1330700
2010-03-03,14.384000,14.514667,14.354667,14.405334,11.959023,1148500
2010-03-04,14.378667,14.624000,14.346666,14.565333,12.159380,1019500
2010-03-05,14.674666,14.813334,14.674666,14.802667,12.357511,1051000
2010-03-08,14.749333,14.864000,14.696000,14.792000,12.348607,820000
2010-03-09,14.754666,14.949333,14.685333,14.904000,12.442106,1677700
2010-03-10,14.832000,14.896000,14.416000,14.610666,12.197223,1311000
2010-03-11,14.605333,14.768000,14.456000,14.762667,12.324118,1032000
2010-03-12,14.733334,14.864000,14.682667,14.770667,12.330798,1803200
2010-03-15,14.789333,14.848000,14.629333,14.680000,12.255103,847700
2010-03-16,14.693334,14.866667,14.650666,14.816000,12.368641,829500
2010-03-17,14.834666,15.085333,14.805333,15.056000,12.568995,1112200
2010-03-18,15.133333,15.469334,15.056000,15.298667,12.771581,1203200
2010-03-19,15.352000,15.469334,15.224000,15.352000,12.816105,2130700
2010-03-22,15.320000,15.458667,15.173333,15.376000,12.836140,807200
2010-03-23,15.410666,15.488000,15.269333,15.469334,12.914056,622700
2010-03-24,15.416000,15.466666,15.306666,15.352000,12.816105,700000
2010-03-25,15.432000,15.432000,15.312000,15.317333,12.787166,720700
2010-03-26,15.325334,15.442667,15.245334,15.277333,12.753771,880000
2010-03-29,15.349334,15.677333,15.306666,15.674666,13.085469,1142200
2010-03-30,15.770667,15.898666,15.754666,15.840000,13.223494,1242000
2010-03-31,15.800000,15.898666,15.720000,15.853333,13.234625,1413200
2010-04-01,15.906667,16.000000,15.906667,16.000000,13.357065,747200
2010-04-05,16.024000,16.117332,16.002666,16.042667,13.392682,1254700
2010-04-06,15.973333,15.986667,15.784000,15.984000,13.343709,963000
2010-04-07,15.981334,15.981334,15.760000,15.818666,13.205686,707200
2010-04-08,15.794666,15.850667,15.741333,15.842667,13.225720,571500
2010-04-09,15.802667,15.989333,15.802667,15.962667,13.325899,854200
2010-04-12,15.973333,16.061333,15.946667,16.034666,13.386003,798200
2010-04-13,16.034666,16.077333,15.888000,16.048000,13.397138,362500
2010-04-14,16.016001,16.063999,15.808000,15.933333,13.301412,937000
2010-04-15,15.885333,15.914667,15.728000,15.912000,13.283598,1083000
2010-04-16,15.874666,15.949333,15.605333,15.632000,13.049851,1253500
2010-04-19,15.650666,15.789333,15.626667,15.773334,13.167841,747200
2010-04-20,15.845333,15.845333,15.594666,15.810667,13.199007,935200
2010-04-21,15.800000,15.914667,15.781333,15.818666,13.205686,691700
2010-04-22,15.717334,15.866667,15.688000,15.848000,13.230175,695200
2010-04-23,15.837334,15.869333,15.741333,15.869333,13.247983,523500
2010-04-26,15.832000,16.053333,15.832000,15.874666,13.252436,570200
2010-04-27,15.789333,15.858666,15.493333,15.512000,12.949677,876000
2010-04-28,15.546667,15.549334,15.272000,15.480000,12.922959,1020700
2010-04-29,15.565333,15.781333,15.520000,15.669333,13.081020,993200
2010-04-30,15.637333,15.824000,15.509334,15.514667,12.951899,1183000
2010-05-03,15.618667,15.645333,15.509334,15.592000,13.016459,1000500
2010-05-04,15.504000,15.504000,14.890667,15.072000,12.582351,1933500
2010-05-05,15.034667,15.192000,14.997334,15.144000,12.642461,1758200
2010-05-06,15.149333,15.432000,14.370667,14.949333,12.479954,2398700
2010-05-07,14.949333,14.986667,14.568000,14.709333,12.279593,1888000
2010-05-10,15.058666,15.306666,14.853333,15.269333,12.747092,1863700
2010-05-11,15.154667,15.416000,15.066667,15.354667,12.818333,911200
2010-05-12,15.352000,15.720000,15.349334,15.704000,13.109959,1334500
2010-05-13,15.666667,15.770667,15.586667,15.589334,13.014235,993200
2010-05-14,15.562667,15.581333,15.173333,15.266666,12.744866,1214500
2010-05-17,15.333333,15.472000,15.197333,15.400000,12.856174,911500
2010-05-18,15.629333,15.794666,15.301333,15.354667,12.818333,1387700
2010-05-19,15.280000,15.397333,15.194667,15.309334,12.780485,894000
2010-05-20,15.026667,15.045333,14.677333,14.677333,12.252881,1564700
2010-05-21,14.480000,14.832000,14.352000,14.832000,12.381997,1413700
2010-05-24,14.722667,14.840000,14.666667,14.682667,12.257335,856500
2010-05-25,14.250667,14.562667,14.192000,14.554667,12.150474,1502200
2010-05-26,14.570666,14.722667,14.480000,14.520000,12.121536,2026000
2010-05-27,14.666667,15.074667,14.653334,15.053333,12.566772,1441700
2010-05-28,15.037333,15.069333,14.789333,14.789333,12.346381,1824200
2010-06-01,14.693334,14.920000,14.594666,14.688000,12.261784,1166500
2010-06-02,14.738667,15.194667,14.629333,15.194667,12.684755,1533200
2010-06-03,15.168000,15.285334,15.034667,15.232000,12.783229,1058200
2010-06-04,14.949333,15.146667,14.813334,14.898666,12.503484,1737000
2010-06-07,14.933333,15.045333,14.808000,14.810667,12.429631,1348500
2010-06-08,14.794666,15.269333,14.749333,15.248000,12.796657,2007700
2010-06-09,15.280000,15.522667,14.936000,15.496000,13.004788,2200500
2010-06-10,15.677333,15.893333,15.488000,15.778666,13.242009,1782200
2010-06-11,15.682667,15.693334,15.442667,15.666667,13.148015,1426700
2010-06-14,15.690666,15.960000,15.685333,15.837334,13.291248,1364200
2010-06-15,15.840000,16.000000,15.714666,15.994667,13.423286,1217200
2010-06-16,15.882667,16.042667,15.808000,16.034666,13.456855,1146000
2010-06-17,16.090666,16.104000,15.834666,16.032000,13.454617,1142200
2010-06-18,16.024000,16.080000,15.848000,15.858666,13.309152,1353200
2010-06-21,15.984000,16.128000,15.837334,15.930667,13.369575,983200
2010-06-22,15.952000,16.117332,15.917334,15.930667,13.369575,1534500
2010-06-23,15.912000,15.976000,15.648000,15.837334,13.291248,1455000
2010-06-24,15.829333,15.954667,15.714666,15.864000,13.313624,1664500
2010-06-25,15.866667,16.013334,15.493333,15.552000,13.051785,4086000
2010-06-28,15.637333,15.848000,15.565333,15.730667,13.201727,1380000
2010-06-29,15.578667,15.618667,15.237333,15.394667,12.919745,1941200
2010-06-30,15.394667,15.416000,15.192000,15.261333,12.807842,1215700
2010-07-01,15.290667,15.328000,14.989333,15.258667,12.805613,1911000
2010-07-02,15.296000,15.738667,15.296000,15.442667,12.960026,1642500
2010-07-06,15.562667,15.826667,15.509334,15.648000,13.132352,1584000
2010-07-07,15.648000,16.026667,15.648000,16.026667,13.450141,1507000
2010-07-08,16.096001,16.429333,16.056000,16.429333,13.788074,2119000
2010-07-09,16.429333,16.466667,16.234667,16.322666,13.698550,1340200
2010-07-12,16.253334,16.296000,16.090666,16.170666,13.570991,1092700
2010-07-13,16.256001,16.381332,16.197332,16.245333,13.633655,1189500
2010-07-14,16.176001,16.421333,16.157333,16.333334,13.707510,1003700
2010-07-15,16.304001,16.549334,16.261333,16.472000,13.823880,1039000
2010-07-16,16.453333,16.466667,16.133333,16.197332,13.593368,1186000
2010-07-19,16.274666,16.277334,16.112000,16.216000,13.609036,536500
2010-07-20,15.973333,16.682667,15.973333,16.653334,13.976063,2731700
2010-07-21,16.695999,16.719999,16.232000,16.261333,13.647084,1479200
2010-07-22,16.408001,16.621334,16.408001,16.568001,13.904450,1014700
2010-07-23,16.549334,16.832001,16.549334,16.821333,14.117054,862500
2010-07-26,16.789333,17.114666,16.736000,17.106667,14.356515,1550500
2010-07-27,17.162666,17.346666,17.090666,17.234667,14.463937,1057500
2010-07-28,17.234667,17.245333,16.976000,17.007999,14.273711,747000
2010-07-29,17.066668,17.104000,16.813334,16.925333,14.204334,1071000
2010-07-30,16.794666,16.914667,16.645334,16.856001,14.146151,1418200
2010-08-02,17.080000,17.293333,17.080000,17.266666,14.490793,1117000
2010-08-03,17.149334,17.314667,17.146667,17.184000,14.421416,539200
2010-08-04,17.165333,17.341333,17.117332,17.205334,14.439318,1035700
2010-08-05,17.143999,17.143999,16.773333,16.858667,14.148389,1528500
2010-08-06,16.738667,16.738667,16.269333,16.677334,13.996204,1695700
2010-08-09,16.639999,16.845333,16.639999,16.704000,14.018582,818200
2010-08-10,16.650667,16.840000,16.578667,16.773333,14.076768,1208200
2010-08-11,16.591999,16.591999,16.336000,16.362667,13.732122,1577500
2010-08-12,16.226667,16.322666,16.098667,16.274666,13.658273,1502500
2010-08-13,16.247999,16.322666,16.170666,16.234667,13.624701,859500
2010-08-16,16.136000,16.157333,15.997334,16.143999,13.548616,901500
2010-08-17,16.250668,16.781334,16.210667,16.725334,14.036487,1609700
2010-08-18,16.743999,16.743999,16.464001,16.576000,13.911160,1008000
2010-08-19,16.568001,16.568001,16.245333,16.325333,13.700792,1020700
2010-08-20,16.162666,16.375999,16.162666,16.333334,13.707510,833200
2010-08-23,16.455999,16.610666,16.375999,16.405333,13.767931,736500
2010-08-24,16.317333,16.594667,16.210667,16.498667,13.846262,1468500
2010-08-25,16.480000,16.528000,16.266666,16.448000,13.803741,558200
2010-08-26,16.517334,16.517334,16.296000,16.322666,13.698550,808700
2010-08-27,16.408001,16.584000,16.224001,16.559999,13.897735,1000700
2010-08-30,16.501333,16.634666,16.290667,16.290667,13.671700,1263700
2010-08-31,16.269333,16.381332,16.160000,16.344000,13.716459,2532200
2010-09-01,16.472000,16.472000,14.466666,15.605333,13.096549,4015000
2010-09-02,15.989333,15.989333,15.226666,15.538667,13.107791,3594000
2010-09-03,15.720000,15.760000,15.624000,15.754666,13.289999,1672000
2010-09-07,15.733334,15.840000,15.680000,15.717334,13.258509,1641000
2010-09-08,15.778666,15.914667,15.741333,15.746667,13.283249,2251700
2010-09-09,15.890667,15.960000,15.765333,15.810667,13.337240,1806700
2010-09-10,15.845333,15.845333,15.682667,15.728000,13.267507,3070000
2010-09-13,15.832000,15.856000,15.568000,15.592000,13.152780,1429500
2010-09-14,15.594666,16.090666,15.557333,16.063999,13.550941,2076700
2010-09-15,16.032000,16.074667,15.978666,15.992000,13.490204,1754200
2010-09-16,15.970667,16.237333,15.949333,16.226667,13.688163,1453000
2010-09-17,16.301332,16.448000,16.202667,16.274666,13.728651,3577000
2010-09-20,16.341333,16.480000,16.264000,16.434668,13.863621,870000
2010-09-21,16.445333,16.493334,16.242666,16.253334,13.710657,1096700
2010-09-22,16.266666,16.330667,16.138666,16.264000,13.719652,1576500
2010-09-23,16.167999,16.312000,16.056000,16.237333,13.697163,1334500
2010-09-24,16.378666,16.581333,16.245333,16.485332,13.906357,978000
2010-09-27,16.493334,16.538666,16.327999,16.330667,13.775891,1014700
2010-09-28,16.333334,16.485332,16.138666,16.472000,13.895113,665200
2010-09-29,16.400000,16.469334,16.250668,16.397333,13.832129,1105500
2010-09-30,16.477333,16.634666,16.232000,16.437334,13.865874,986200
2010-10-01,16.448000,16.554667,16.392000,16.554667,13.964850,1302000
2010-10-04,16.552000,16.594667,16.381332,16.466667,13.890615,927200
2010-10-05,16.533333,16.629333,16.458666,16.581333,13.987344,1282500
2010-10-06,16.584000,16.653334,16.373333,16.474667,13.897364,1166500
2010-10-07,16.549334,16.615999,16.224001,16.280001,13.733152,1207500
2010-10-08,16.320000,16.378666,16.096001,16.296000,13.746646,1041200
2010-10-11,16.301332,16.362667,16.167999,16.336000,13.780389,631700
2010-10-12,16.330667,16.445333,16.191999,16.386667,13.823130,871500
2010-10-13,16.472000,16.597334,16.400000,16.552000,13.962601,976000
2010-10-14,16.552000,16.695999,16.514668,16.608000,14.009837,828700
2010-10-15,16.664000,16.775999,16.549334,16.608000,14.009837,871700
2010-10-18,16.637333,16.701334,16.565332,16.688000,14.077322,552200
2010-10-19,16.578667,16.648001,16.472000,16.544001,13.955853,880000
2010-10-20,16.573334,16.829334,16.546667,16.765333,14.142559,811500
2010-10-21,16.821333,16.941334,16.674667,16.682667,14.072829,826700
2010-10-22,16.704000,16.768000,16.416000,16.514668,13.931104,1401200
2010-10-25,16.610666,16.680000,16.327999,16.373333,13.811886,1791000
2010-10-26,16.346666,16.357334,16.104000,16.109333,13.589181,1842200
2010-10-27,16.053333,16.053333,15.693334,15.906667,13.418221,1824700
2010-10-28,15.962667,16.063999,15.920000,16.016001,13.510449,1593700
2010-10-29,16.010666,16.237333,15.994667,16.216000,13.679160,1359200
2010-11-01,16.290667,16.360001,16.120001,16.258667,13.715154,789000
2010-11-02,16.365334,16.400000,16.304001,16.325333,13.771389,1176700
2010-11-03,16.368000,16.434668,16.229334,16.434668,13.863621,861000
2010-11-04,16.568001,16.714666,16.509333,16.714666,14.099822,892700
2010-11-05,16.685333,16.775999,16.629333,16.765333,14.142559,691700
2010-11-08,16.701334,16.773333,16.637333,16.749332,14.129061,448500
2010-11-09,16.738667,16.738667,16.610666,16.695999,14.084073,506200
2010-11-10,16.613333,16.632000,16.445333,16.602667,14.005340,400500
2010-11-11,16.511999,16.648001,16.445333,16.637333,14.034584,620500
2010-11-12,16.535999,16.610666,16.506666,16.605333,14.007587,590200
2010-11-15,16.629333,16.725334,16.573334,16.645334,14.041331,628500
2010-11-16,16.546667,16.658667,16.375999,16.450666,13.877120,825200
2010-11-17,16.434668,16.642666,16.389334,16.634666,14.032335,729200
