Creation Date,TYPE,Material sales text,Net value,Quantity
2017-01-04,FEW-CN,FEW325080K1S4A1B1A1A3G2B3A1JBM5V3CWYT3,1987.5,2.0
2017-01-13,LST300,LST300F8C06U5B1L1H1L7M5LST300,474.0,1.0
2017-01-16,3KXL333401L0006,,665.5,2.0
2017-01-16,3KQZ207006U0100,,604.64,16.0
2017-01-16,FEW-CN,FEW325900H1S4C2B1B1A2P3B3A1JKM5V3CWM,7948.76,1.0
2017-01-17,FEW-CN,FEW3600H1S1A1BJBWM,3836.29,1.0
2017-01-17,LST400,LST400Y0Y00N1P6A1H1SC0M5LST400,484.6,1.0
2017-01-18,FEW-CN,FEW3500H1S1A1BJBWM,2981.04,1.0
2017-01-18,FEW-CN,FEW3450H1S1A1BJBWM,2737.23,1.0
2017-01-18,LST300,LST300F4C06U5B1L1H1FA3L2M5TCCLST300,686.4,1.0
2017-01-20,FEW-CN,FEW325900K1S4C1B1A1A3P3B3A1JKM5V3CWY,6544.7,1.0
2017-01-24,LST300,LST300F8C06U5B1L1H1L7M5LST300,474.0,1.0
2017-01-25,HSGSPMR501,,580.5,50.0
2017-01-25,INSTRU FREIGHT,,255.0,1.0
2017-02-03,FEW-CN,FEW325750H1S4C2B1B1A2P3B3G1JKM5V3CWM,12375.4,2.0
2017-02-03,LST400,LST400Y0F15N1P3A1H1SC4M5LST400,866.17,1.0
2017-02-03,LST400,LST400Y0F15N1P3A1H1SC4M5LST400,866.17,1.0
2017-02-03,LST400,LST400Y0S15N1P6A1H1SC2M5LST400,3093.2,4.0
2017-02-03,FEW-CN,FEW325201H1D4C2B1A1A2P2B3A1JKM5V3CWM,12645.93,1.0
2017-02-03,FEW-CN,FEW325900K1S4C2B1A1A2P3B3A1JKM5V3CWA,6619.78,1.0
2017-02-03,FEW-CN,FEW325600H1D4A1B1A1A2P3B3A1JBM5V3CWM,5131.08,1.0
2017-02-07,FEW-CN,FEW325150H1S4A3B1B1A2P2B4A1JBM5V3CWM,1526.1,1.0
2017-02-09,FEW-CN,FEW315051H1S4C1B1A1A0P1B3A1JHM5V3CWM,9430.0,1.0
2017-02-09,FEW-CN,FEW315201H1S4C1B1A1A0P1B3A1JHM5V3CWM,11570.0,1.0
